SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,Remarks
83,2015-08-06,Applied Solar Technologies,Technology,Off-grid Solar Power,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,150000,Series B
7,2015-08-07,33Coupons,Consumer Internet,Coupon Aggregator Platform,Others,Not Disclosed,Seed Funding,825000,
72,2015-08-07,Ampere Vehicles,Technology,Electric Scooter manufacturer,Others,Ratan Tata,Seed Funding,2800000,
113,2015-08-07,Axtria,Technology,Big Data & Analytics platform,Hyderabad,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,1300000,Series C
557,2015-08-07,Flytxt,Technology,Big Data & Analytics platform,Mumbai,"Sunrise Capital GmBH, Big Data Investments B.V",Private Equity,5000000,Series A
934,2015-08-07,Lendingkart,Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,150000,Series A
1003,2015-08-07,Lybrate,Consumer Internet,Healthcare Mobile App,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,700000,Series A
1372,2015-08-07,Quinto,Consumer Internet,Food Discovery App,Pune,Jaydeep Barman,Seed Funding,8200000,
1454,2015-08-07,Saavn,Consumer Internet,Web-Mobile Music Streaming service,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity,300000,Series C
2018,2015-08-07,Zoomcar,Consumer Internet,Self-Driven Cab booking platform,Bangalore,"Sequoia Capital, Empire Angels, NGP",Private Equity,11000000,Series B
1081,2015-08-09,MockBank,Consumer Internet,Government Test Preparation platform,Bangalore,Blume Ventures,Seed Funding,8200000,
362,2015-08-10,Cube26,Technology,Gesture based Mobile Development,New Delhi,"Tiger Global Management, Flipkart",Private Equity,300000,Series A
656,2015-08-10,Grabhouse.com,E-Commerce,Rental Accommodation Search platform,Bangalore,Sequoia and Kalaari Capital.,Private Equity,250000,Series B
1075,2015-08-10,Mobikon,Technology,Hotel Mobile CRM Software platform,Pune,"Life.SREDA, Qualgro",Private Equity,3000000,Series B
1367,2015-08-10,Quifers,Logistics,Logistics Tech Platform,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,1000000,
2025,2015-08-10,ZuperMeal,Consumer Internet,Home Cooked Food marketplace & Delivery,Mumbai,"Sanjeev Kapoor,?ò Ravi Saxena & Others",Private Equity,6000000,Series A
1059,2015-08-12,mFicient,Technology,Cloud Enterprise Mobility Platform,New Delhi,Undisclosed investors,Seed Funding,150000,
1954,2015-08-12,Yumist,Consumer Internet,Home Cooked Food Order & Delivery platform,Gurgaon,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",Private Equity,300000,Series A
49,2015-08-13,Agrostar,Technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,IDG Ventures,Private Equity,1000000,Series A
141,2015-08-13,betaout,Technology,customer intelligence and marketing automation platform,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &?ò Group of other Angel investors",Seed Funding,150000,
1756,2015-08-14,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Gujarat based angel investors, MMY co-Founder",Seed Funding,6000000,
1815,2015-08-14,VanityCube,Consumer Internet,On-Demand Beauty Services,New Delhi,Group of angel investors,Seed Funding,500000,
1856,2015-08-14,VoxWeb,Consumer Internet,Mobile based social networking platform,Mumbai,Jitendra Gupta & others,Seed Funding,150000,
598,2015-08-17,Gadgets 360,E-Commerce,Car & Bike E-Commerce platform,New Delhi,One97 Communications,Private Equity,600000,Strategic Investment
1216,2015-08-17,Orobind,Consumer Internet,App based Fitness coaching,Bangalore,Existing & New Investors,Private Equity,5000000,pre series A
1461,2015-08-17,Sampurnearth,Technology,Waste Management Solutions,Mumbai,"Intellecap Impact Investment Network, family office fund",Seed Funding,21500000,
1504,2015-08-17,Shadowfox,Logistics,On-Demand Delivery Service,Gurgaon,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",Seed Funding,3000000,
1947,2015-08-17,YourStory,Consumer Internet,Online Media,Bangalore,"Ratan Tata, Vani Kola, T V Mohandas Pai, Karthee Madasamay",Seed Funding,150000,
834,2015-08-18,IntelligenceNODE,Technology,Data Analytics Platform,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,250000,Series A
1447,2015-08-18,Roposo,E-Commerce,Social Fashion E-Commerce Discovery platform,Gurgaon,Tiger Global,Private Equity,285000,Series B
1765,2015-08-18,Twyst,Consumer Internet,Location based engagement & rewards platform,Gurgaon,"Rohit Bhatia, Sunil Nikhar, Vaibhav Domkundwar, Siddharth Nautiyal",Seed Funding,100000,
1032,2015-08-19,MebelKart,E-Commerce,Online Furniture Marketplace,Bangalore,AskMe,Private Equity,50000000,
184,2015-08-20,Bluegape.com,Consumer Internet,Visual Blogging platform,New Delhi,"ah! Ventures, Times Internet, Rudy Gopalakrishnan",Seed Funding,16600,
468,2015-08-21,ePoise,Consumer Internet,Job Search Platform,Bangalore,"Orios Venture Partners, Amit Ranjan & others",Seed Funding,1750000,
200,2015-08-24,BookMeIn,Consumer Internet,Professional Service Appointment booking service,Mumbai,Ajmera Group of Companies,Seed Funding,16600,
442,2015-08-25,EazyDiner,Consumer Internet,Restaurant Reservation Platform,New Delhi,"DSG Consumer Partners, Saama Capital",Private Equity,3000000,Series A
764,2015-08-25,ICustomMadeIt,Consumer Internet,Professional Custom creators Marketplace,Pune,Group of Angel Investors,Seed Funding,12500000,
1377,2015-08-25,Qyk App,Consumer Internet,On-Demand App based Professional service provider,Bangalore,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua",Private Equity,1200000,pre-series A
1272,2015-08-26,PickMyLaundry,Consumer Internet,On-Demand Washing & Dry Cleaning Services,New Delhi,GHV Accelerator,Seed Funding,500000,
145,2015-08-28,BetterButter.in,Consumer Internet,online recipe sharing platform,New Delhi,"Growx Ventures, Manish Singhal",Seed Funding,6000000,
1439,2015-08-28,RollMafia,Others,QSR Restaurant Chain,Pune,Equentia Natural Resources,Seed Funding,6000000,
1865,2015-08-28,Vyomo,Consumer Internet,On-Demand Beauty Service provider,Bangalore,Rocket Internet,Private Equity,150000,Pre-Series A
807,2015-08-31,Infinite Analytics,Technology,Big Data & predictive Analysis Platform,Mumbai,"Ratan Tata, Nikhil Vora & others",Private Equity,6000000,Bridge Round
1423,2015-08-31,Reverie,Technology,Language Localization Cloud platform,Bangalore,"Aspada Investment Advisors, Qualcomm Ventures",Private Equity,5000000,Series A
1938,2015-09-01,YepMe,E-Commerce,Private Label Fashion etailer,Gurgaon,"JS Capital, Helion Venture Partners, Capricorn Investment Group",Private Equity,260000,Series A
251,2015-09-02,CarDekho,Consumer Internet,Online Car Portal,Jaipur,Ratan Tata,Private Equity,16600,
167,2015-09-03,Biteclub,Consumer Internet,Online Food Ordering & Delivery Portal,Gurgaon,"Powai Lake Ventures, Aneesh Reddy, Ashish Kashyap, Alok Mittal",Seed Funding,600000,
192,2015-09-04,Bonhomia,FMCG,Premium Tea & Coffee Capsules maker,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,16600,
277,2015-09-04,Changer Mints,Consumer Internet,Digital - Mobile Wallet,Kolkata,Hyderabad based investor,Seed Funding,3000000,
599,2015-09-04,Gadgetwood,Technology,Device Repair Svcs,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,Nitin Singhal & Others",Seed Funding,8200000,
1347,2015-09-04,Purple Squirrel,Education,Ed-Tech,Mumbai,"Matrix Partners India, India Quotient",Private Equity,150000,Series B
1793,2015-09-04,Urban Ladder,E-Commerce,Online Furniture Store,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,1000000,Series C
307,2015-09-06,Clovia,E-Commerce,Online lingerie & Sleepwear etailer,New Delhi,IvyCap Ventures,Private Equity,2800000,Series A
1241,2015-09-06,PayMango,E-Commerce,Mobile Commerce Platform,Gurgaon,Group of Angel Investors,Seed Funding,21500000,
1331,2015-09-06,Printland,E-Commerce,Online Printing Services,New Delhi,SIDBI Venture Capital Ltd,Private Equity,3000000,Series A
1637,2015-09-06,Swiggy,Consumer Internet,Online food delivery platform,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,16500000,Series B
185,2015-09-07,Bluestone,E-Commerce,Jewellery Etailer,Bangalore,"IvyCap Ventures, Accel Partners, Dragoneer Investment Group",Private Equity,250000,
1169,2015-09-07,Notesgen,E-Commerce,Online Study Notes Marketplace,New Delhi,"Rajeev Saraf, Arvind Jha, R. Satya Narayanan",Seed Funding,250000,
1527,2015-09-07,Shopsity,Consumer Internet,Fashion Info Aggregator App,Gurgaon,"Sandeep Aggarwal, Teruhide Sato",Seed Funding,3000000,
302,2015-09-10,Cloud Lending,Technology,End-to-End Lending platform,Bangalore,SF Capital Group,Private Equity,100000000,Series A
378,2015-09-10,Curofy,Consumer Internet,Doctors Network Mobile App,New Delhi,RoundGlass Partners,Private Equity,60000000,Pre-Series A
1612,2015-09-10,Stockroom.io,Consumer Internet,Developer Portfolio Showcase platform,Hyderabad,Undisclosed Investors,Seed Funding,12500000,
1909,2015-09-10,WoNoBo,Technology,360-degree view creating platform,Bangalore,Quikr,Private Equity,150000,Strategic Funding
1987,2015-09-10,Zeppery,Consumer Internet,Food Ordering & Delivery App,New Delhi,Suyash Sharma,Seed Funding,3000000,
89,2015-09-11,AppVirality,Technology,Mobile Growth HackingPlatform,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,?ò Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,22500000,Pre-Series A
159,2015-09-11,BigStylist.com,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Mumbai,Info Edge,Private Equity,1000000,Pre-Series A
1994,2015-09-11,Zilingo,E-Commerce,Marketplace App for Bangkok,Bangalore,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",Private Equity,330000,Series A
114,2015-09-12,Aye Finance,Finance,Nonbanking finance company,New Delhi,"SAIF Partners, Accion",Private Equity,325000,Series B
1857,2015-09-12,Voxweb,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed Investor,Seed Funding,3000000,
235,2015-09-14,CanvasFlip,Technology,Mobile App testing platform,Hyderabad,Bessemer Venture Partners,Seed Funding,500000,
1190,2015-09-14,Ola Cabs,Consumer Internet,Cab Aggregator App,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,10000000,Late Stage
1505,2015-09-14,Shadowfox,Logistics,On-Demand Delivery Service,Gurgaon,Eight Roads Ventures,Private Equity,250000,Series A
1774,2015-09-14,UE LifeSciences,Technology,Mobile Health Technology Solutions,Others,"Aarin Capital, Unitus Seed Fund",Private Equity,500000,Series A
336,2015-09-15,Coverfox,Others,Online Insurance Distribution Platform,Mumbai,Cataraman Ventures,Private Equity,21500000,Part of $12M Series B funding
1082,2015-09-15,MoEngage,Technology,User analytics and engagement platform,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,16600,Series A
1440,2015-09-15,Room On Call,Consumer Internet,Budget hotel aggregator,Noida,Payal Syal,Seed Funding,12750000,
276,2015-09-16,ChaiPoint,Consumer Internet,Food Subscription platform,Bangalore,Eight Roads Ventures,Private Equity,3000000,Series A
1882,2015-09-16,WedmeGood.com,Consumer Internet,Wedding Planning Platform,Gurgaon,Indian Angel Network,Seed Funding,600000,
1933,2015-09-16,XSTOK,Finance,B2B Mobile Auction Marketplace,Mumbai,Oliphans Capital,Seed Funding,1500000,
216,2015-09-17,Bueno,E-Commerce,Online Food ordering & delivery,Gurgaon,High Networth Individuals (No details),Seed Funding,600000,
1784,2015-09-17,UniLog,Technology,E-Commerce Data Analytics Platform,Bangalore,Kalaari Capital,Private Equity,2800000,
1939,2015-09-17,YepMe,E-Commerce,Private Label Fashion etailer,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,1000000,Series D
374,2015-09-18,CureJoy,Consumer Internet,Online Alternative health community platform,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,100000000,Pre-Series A
1288,2015-09-18,Plabro,Others,Real Estate Broker Platform App,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,1000000,
915,2015-09-21,LafaLafa,Consumer Internet,"Digital Coupons, Deal & Cashback aggregator app",Mumbai,500 Startups,Seed Funding,3000000,thru Accelerator
1308,2015-09-21,Portea Medical,Consumer Internet,Home Medical Care Services,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,500000,
140,2015-09-22,Bestdealfinance,Finance,Financial Services Portal,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,3000000,Series A
991,2015-09-22,LogiNext,Logistics,End-to-end Logistics platform,Mumbai,Paytm,Private Equity,1750000,Series A
1840,2015-09-22,Virtual Logic,Technology,"virtual reality, 3d simulation and stereoscopic products",Bangalore,Swarnim Multiventures,Private Equity,100000000,Pre-Series A
342,2015-09-23,Credihealth,Consumer Internet,Online Medical Assistance platform,Gurgaon,Rajat Malhotra,Seed Funding,21500000,
566,2015-09-24,Fourth Partner Energy,Technology,Solar Power Solutions company,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,330000,Series A
955,2015-09-24,Licious,E-Commerce,Online Meat Ordering platform,Bangalore,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,500000,
1373,2015-09-24,Quintype,Technology,Data Driven Publishing platform,Bangalore,Raghav Bahl,Private Equity,16600,
1191,2015-09-28,Ola Cabs,Consumer Internet,Cab Aggregator App,Bangalore,Didi Kuaidi,Private Equity,800000,late Stage (part of $500M funding rnd)
1365,2015-09-28,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"500 Startups, Mato Peric & Others",Seed Funding,60000000,
211,2015-09-29,Brigge,Consumer Internet,Activity Based Social Network,Chennai,The Chennai Angels,Seed Funding,400000,
977,2015-09-29,LoanCircle,Consumer Internet,Consumer lending marketplace,Bangalore,"Zishaan Hayath, Rahul Khanna & Others",Seed Funding,325000,
1246,2015-09-29,Paytm,E-Commerce,E-Commerce,New Delhi,"Alibaba Group, Ant Financial",Private Equity,15000000,Late Stage (Alibaba @ 40% equity)
1258,2015-09-29,PepperTap,E-Commerce,Hyperlocal Grocery Delivery,Gurgaon,"Sequoia India, SAIF Partners.",Private Equity,100000,Series B
1958,2015-09-29,Zakoopi,E-Commerce,Fashion Discovery platform,New Delhi,Uniqorn Ventures,Seed Funding,6000000,
526,2015-09-30,FirstTouch,Technology,Local Mobile OS,Gurgaon,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",Seed Funding,6000000,Super angel round
810,2015-09-30,Infoworks,Technology,Big Data Management Platform,Bangalore,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,150000,
1394,2015-09-30,RedDoorz,Consumer Internet,Budget Accomodation Aggregator,Noida,Jungle Ventures,Seed Funding,16000000,
260,2015-10-02,CarTrade,Consumer Internet,Automobile Classifieds Portal,Mumbai,Chip Perry,Private Equity,3000000,
1614,2015-10-02,StoreKing,E-Commerce,Connecting Small Town Consumers to E-Commerce,Bangalore,Mangrove Capital Partners,Private Equity,1000000,
781,2015-10-04,iMMi Life,Healthcare,Mobile Health Tech,Chennai,Unitus Seed Fund,Seed Funding,700000,
1887,2015-10-04,Whatfix,Technology,Interactive Tech-Support Guides,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,500000,
671,2015-10-06,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, SVP Fly Dubai & Others",Seed Funding,21500000,
1851,2015-10-06,Voonik,E-Commerce,Online Womenü??s Fashion Marketplace,Bangalore,"Sequoia Capital, Seedfund",Private Equity,8200000,Series A
561,2015-10-07,Footprints Education,Others,Pre-School Chain,Gurgaon,"LetsVenture, Kumar Bansal, Kshitij Jain",Seed Funding,825000,
998,2015-10-07,Loylty Rewards,Consumer Internet,Premium Loyalty Rewards Point Management,Mumbai,IndianIdeas.com,Private Equity,12500000,Late Stage
29,2015-10-08,Actionable Analytics,Technology,Machine Learning Platform,New Delhi,"B M Gupta, Vinod Singhal",Seed Funding,1200000,
663,2015-10-08,Grey Orange,Technology,Automated Storage & Warehousing Solution,Gurgaon,Tiger Global Management,Private Equity,5000000,Series B
1709,2015-10-08,Tone Tag,Technology,Contactless Payment Solution,Bangalore,Reliance Capital Venture,Private Equity,150000,Series A
802,2015-10-09,Industrybuying,E-Commerce,Online Marketplace for Industrial Goods,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,330000,Series B
1205,2015-10-09,OnlineTyari,Consumer Internet,Multilingual Test Preparation Platform,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,2800000,Series A
280,2015-10-11,Chefs Basket,FMCG,Ready to cook packaged Foods,Mumbai,"SAIF Partners, Haresh Chawla",Private Equity,600000,Series A
174,2015-10-12,BlackBuck,Logistics,Online Freight Services Aggregator,Bangalore,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",Private Equity,150000,Series B
283,2015-10-12,Chillr,Consumer Internet,Peer-to-Peer Money Transfer & Recharge App,Mumbai,"Sequoia Capital, Blume Ventures, Uniqorn Ventures and other",Private Equity,100000000,Series A
735,2015-10-12,Holisol Logistics,Logistics,Supply Chain & Logistics Solutions,New Delhi,CLSA Capital Partners ARIA IV Funds,Private Equity,300000,
738,2015-10-12,HomeStudio,E-Commerce,Online Branded Furniture etailer,Bangalore,Bren Corporation,Private Equity,5000000,Series A
1242,2015-10-12,Paynear,Consumer Internet,Mobile Point of Sale solutions,Hyderabad,Mitesh Majithia,Private Equity,2500000,Pre-Series A
1337,2015-10-12,PropheSee,Technology,Digital Analytics Platform,New Delhi,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,21500000,
1601,2015-10-12,Stay Simple Resorts,Others,Holiday Resort Chain,Bangalore,"Mr. Sudhir & Ms. Shalini Sethi, Mr. Praveen Someshwar",Seed Funding,250000,
995,2015-10-13,Lookup,Consumer Internet,Mobile Messaging Assistant App,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,3000000,Series A
597,2015-10-14,Gaana.com,Consumer Internet,Music Streaming mobile app,Mumbai,Micromax Informatics Ltd,Private Equity,6000000,Strategic Funding
679,2015-10-14,GymTrekker,Consumer Internet,Gym Discovery platform,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta",Seed Funding,330000,
1959,2015-10-14,Zappfresh,E-Commerce,Raw Meat & Ready to eat food etailer,Gurgaon,Undisclosed Investors,Seed Funding,470000,
204,2015-10-15,Bounty App,Consumer Internet,Online Purchase rewards app,Bangalore,"Fireside Ventures, Mumbai Angels MAPE Advisory Group.",Seed Funding,50000000,
737,2015-10-16,Homers.in,Consumer Internet,Home rental platform,Gurgaon,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",Seed Funding,300000,
1484,2015-10-17,S-Cube Futuretech,Technology,Structural & Civil Engg Service Automation,Mumbai,Parampara Capital,Private Equity,3000000,Series A
287,2015-10-19,Citrus Payment,Technology,Payments Solution platform,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,12500000,Series C
734,2015-10-19,Holidify,Consumer Internet,Travel Destination Discovery platform,New Delhi,Aarti Group,Seed Funding,150000,
102,2015-10-20,Attune Technologies,Technology,Healthcare IT Solutions & services,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,1000000,Series B
759,2015-10-20,iChef.in,Consumer Internet,Gourmet Meals Delivery,Mumbai,Springboard Ventures,Private Equity,12500000,
1209,2015-10-20,Opinio,Consumer Internet,Last Mile Delivery Service,Bangalore,"Delhivery, Sands Capital and Accel Partners",Private Equity,700000,Series A
1329,2015-10-20,PrimaSeller,Technology,Order Fulfillment SAAS platform,Bangalore,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & others",Seed Funding,825000,
48,2015-10-21,AgentDesks,Others,Real Estate Mobile CRM,New Delhi,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,60000000,
1031,2015-10-21,MealHopper,E-Commerce,Home Made Food Marketplace,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,700000,
1610,2015-10-21,Stockal,Consumer Internet,App-based Investment advisory Services,Bangalore,"R Natarajan, Mohan Alexander",Seed Funding,140000,
1980,2015-10-21,Zenify.in,Consumer Internet,Residential Rental management platform,Bangalore,"Atul Jalan, Shrikanth & Bharath",Seed Funding,5000000,
581,2015-10-23,Frsh,Consumer Internet,Online food ordering & Delivery service,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,2800000,Bridge Round
1355,2015-10-23,Qik Stay,Consumer Internet,Hotel Aggregator & booking platform,New Delhi,ID Enablers Pvt Ltd,Seed Funding,1200000,
64,2015-10-26,AlmaMapper,Consumer Internet,Online Student & Campus Social Networking platform,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding,400000,
1235,2015-10-26,Parcelled,Logistics,Online Logistics Platform,Bangalore,Delhivery,Private Equity,1750000,
1389,2015-10-26,RazorPay,Consumer Internet,Online Payment Gateway,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,3000000,Series A
252,2015-10-27,Care24,Healthcare,Professional Health Services Platform,Mumbai,India Quotient,Seed Funding,150000,
688,2015-10-27,Happitoo,Consumer Internet,Location based Nightlife recommendation?ò Platform,Mumbai,Unnamed investor,Seed Funding,3000000,
1433,2015-10-27,Roadrunnr,Logistics,Hyperlocal Logistics Service,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,5000000,Series B
1214,2015-10-28,ORIGA Leasing,Technology,Asset Financing platform,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding,250000,
1557,2015-10-28,Smartivity,E-Commerce,Smart Learning products,New Delhi,S Chand and Co Pvt Ltd,Seed Funding,50000000,
1806,2015-10-28,UrDoorStep,E-Commerce,Online Grocery Store,Bangalore,Jupiter Capital,Private Equity,21500000,Series A
1084,2015-10-29,Moglix,E-Commerce,B2B marketplace for Industrial products,Noida,"Accel Partner, Jungle Ventures",Private Equity,600000,pre-Series A
2021,2015-10-29,ZopHop,Consumer Internet,Public Commute helper App,Mumbai,"Amit Singhal, PK Gulati & others",Seed Funding,16600,
133,2015-10-30,BeaconsTalk,Technology,proximity marketing & Mobile Advertising platform,Mumbai,Puneet Bhatia & others,Seed Funding,100000000,
962,2015-10-30,LiftO,Consumer Internet,Ridesharing Mobile app,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,825000,
1153,2015-10-30,Niki.ai,Technology,Artificial Intelligence E-Commerce Chatbot,Bangalore,Unilazer Ventures,Seed Funding,500000,
1700,2015-10-30,TinyOwl,Consumer Internet,Food Discovery & Delivery Mobile app,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,1200000,Series B
1713,2015-10-30,Toppr,Consumer Internet,Learning mobile app for students,Mumbai,InnoVen Capital,Private Equity,12500000,Series C
239,2015-11-02,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"SAIF Partners, Sequoia Capital, Aspada",Private Equity,500000,Series A
517,2015-11-02,FindYahan,Consumer Internet,Hyperlocal services marketplace,New Delhi,"Karan Bajwa, Parvesh Bareja , Sunjay Kapur, Amanpreet Bajaj",Seed Funding,285000,
1720,2015-11-02,TownScript,Consumer Internet,DIY event registration and ticketing portal,Pune,Group of Angel Investors,Seed Funding,260000,
2016,2015-11-04,Zomato,Consumer Internet,Restaurant Reviews,Gurgaon,Info Edge (India),Private Equity,16600,Late Stage
36,2015-11-06,AdStringO,Technology,Mobile Compression Software,Mumbai,"Arihant Patni, Vishal Khare,?ò Viswanath Ramachandran",Seed Funding,50000000,
498,2015-11-06,Faircent.com,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,300000,Pre-Series A
62,2015-11-08,Allygrow Technologies,Technology,engineering services company,Mumbai,Zodius Technology Fund,Private Equity,1000000,Series A
809,2015-11-08,Infogain,Technology,Business and IT consulting,New Delhi,ChrysCapital,Private Equity,625000,
972,2015-11-08,Livspace,Consumer Internet,Home Design & D??cor solutions,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,16600,Series A
1381,2015-11-08,RainCan,Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Ajeet Khurana & Others,Seed Funding,500000,
1924,2015-11-08,WOW! MOMO,Others,Quick Service Restaurant Chain,Kolkata,Indian Angel Network,Seed Funding,3000000,
530,2015-11-09,FitMeIn,Consumer Internet,Gym & Fitness Studios Subscription platform,New Delhi,Green House Ventures,Seed Funding,3000000,
1967,2015-11-09,Zapyle,E-Commerce,Luxury Fashion Marketplace,Bangalore,,Seed Funding,150000,
12,2015-11-11,6Degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,"Centre For Incubation & Business Acceleration (CIBA), Goa",Seed Funding,325000,
400,2015-11-11,Delight Foods,E-Commerce,Branded Food products online sales,Bangalore,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Private Equity,10000000,Series A
619,2015-11-11,Gingercrush,E-Commerce,Personalized Products & Merchandize eTailer,Others,TV Mohandas Paiü??s family office,Seed Funding,2800000,
653,2015-11-11,Grab.in,Logistics,Hyperlocal Logistics Service Provider,Mumbai,Sixth Sense Ventures,Seed Funding,700000,
1405,2015-11-11,RenewBuy,Consumer Internet,Online Car & Bike Insurance Comparison portal,Gurgaon,Mount Nathan Advisors Pte Ltd,Seed Funding,600000,
478,2015-11-12,EureQa,Technology,Test Automation SAAS platform,Hyderabad,"Sashi Reddi, Gabriel Investments",Seed Funding,825000,
613,2015-11-12,GetFocus,Technology,Indoor Navigation & Analytics Solutions,Mumbai,Undisclosed investors,Seed Funding,470000,
835,2015-11-12,Intelligent Interfaces,Technology,Interface development platform for Government officials,Bangalore,"Sachin Bansal, Binny Bansal",Seed Funding,150000,Yet to Launch platform
982,2015-11-12,LocalCircles,Consumer Internet,Citizens Engagement Platform,Noida,Anand Mahindra,Private Equity,1750000,
1204,2015-11-12,OnlineRTI,Consumer Internet,Online RTI application services,Bangalore,"LetsVenture, Mohandas Pai",Seed Funding,2800000,
1314,2015-11-12,Powerstores,Technology,E-Commerce Website Creation SAAS platform,Others,Extreme Venture Partners?ò William Bissell,Seed Funding,300000,
1799,2015-11-12,UrbanClap,Consumer Internet,Hyperlocal On-Demand Household Services platform,Gurgaon,Ratan Tata,Private Equity,6000000,
1879,2015-11-12,Weddingz.in,Consumer Internet,Wedding Venues & Vendors Marketplace,Mumbai,"Rajan Anandan, Zoya Akhtar, Reema Kagati, Ruchi Narain, Amrish Kumar, Hrishikesh Parandekar",Seed Funding,60000000,
25,2015-11-16,Absentia,Technology,Virtual Reality Headset creator,Bangalore,"Astarc Ventures, 50K Ventures & others",Seed Funding,22500000,
266,2015-11-16,Cashkaro.com,Consumer Internet,E-Commerce Discount & Cashback coupons platform,Gurgaon,Kalaari Capital,Private Equity,250000,Series A
1407,2015-11-16,Renowala,E-Commerce,Home Improvement Marketplace,Hyderabad,Logtally,Seed Funding,5000000,
