SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,Remarks
1256,2015-02-25,PepperTap,E-Commerce,Hyperlocal Grocery Delivery,Gurgaon,Sequoia Capital,Seed Funding,250000,
1464,2015-02-25,Sattviko,FMCG,Health Food Restaurant Chain,New Delhi,"Sumit Jain, Rajat Jain, Sanjay Bhasin",Seed Funding,22500000,
1586,2015-02-25,Squadrun,Technology,Software-As-a-Service Platform,Noida,"Amit Ranjan, Deepinder Goyal, Zishaan Hayath, Powai Lake Ventures",Seed Funding,8200000,
1659,2015-02-25,TaxSutra,Consumer Internet,Online Tax Filing platform,Pune,"V Balakrishnan, T V Mohandas Pai",Seed Funding,60000000,
1699,2015-02-26,TinyOwl,Consumer Internet,Food Discovery & Delivery Mobile app,Mumbai,"Matrix Partners, Sequoia Capital, Nexus Venture Partners",Private Equity,12500000,Series B
665,2015-02-27,Grofers,E-Commerce,Hyper-local Grocery Delivery platform,Gurgaon,"Tiger Global Management, Sequoia Capital India",Private Equity,300000,Series A
582,2015-03-02,Frsh.co.in,Consumer Internet,Online food ordering & Delivery service,Gurgaon,"India Quotient, Kae Capital",Seed Funding,100000,
1635,2015-03-04,Swiggy,Consumer Internet,Online food delivery platform,Bangalore,"Accel Partners, SAIF Partners",Private Equity,2000000,Series A
763,2015-03-06,ICustomMadeIt,Consumer Internet,Bespoke Merchandize Marketplace,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,3000000,
969,2015-03-06,Little Black Book Delhi,Consumer Internet,Online City & Lifestyle Guide,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,500000,
1338,2015-03-06,Propstack,Technology,Real Estate Intelligence Platform,Mumbai,DMG Information,Private Equity,6000000,Series A
368,2015-03-07,CultureAlley,Education,Language Learning App,Jaipur,Tiger Global,Private Equity,1000000,Series A
618,2015-03-07,Gingercrush,E-Commerce,Personalized Products & Merchandize eTailer,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,100000,
644,2015-03-07,GOQii,Technology,Personalized fitness coaching & Fitness band,Mumbai,Vijay Shekhar Sharma,Private Equity,16600,Pre-Series A
323,2015-03-08,Connect India,Logistics,E-Commerce Logistics provider,New Delhi,Aavishkaar,Private Equity,6000000,Series A
1221,2015-03-08,Oyo Rooms,Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital,?ò Lightspeed India",Private Equity,100000000,Series B
1675,2015-03-08,The Home Salon,Others,on-demand home beauty and wellness portal,Mumbai,VentureNursery,Seed Funding,50000000,
1907,2015-03-08,Wizrocket,Technology,User Engagment & Analytics platform,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,50000000,Series B
1051,2015-03-09,MeraDoctor,Technology,Virtual Health consultation app,Mumbai,India Quotient & other investors,Seed Funding,50000000,
1843,2015-03-09,Vistaar Finance,Finance,Small Business Financing (NBFC),Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,?ò Lok Capital",Private Equity,21500000,
282,2015-03-10,Chillr,Consumer Internet,Mobile Payments App,Mumbai,Sequoia Capital,Private Equity,500000,Series A
154,2015-03-11,Bidgely,Technology,Efficient Energy Management platform,Others,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,16600,Series B
187,2015-03-11,BoiBanit,Consumer Internet,Online Food Delivery platform,Others,"Varun Ahuja, Anubhav Verma",Seed Funding,16600,
407,2015-03-11,Deyor Rooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,Dheeraj Jain & Others,Seed Funding,1300000,
515,2015-03-11,Findyahan,Consumer Internet,Hyperlocal services marketplace,New Delhi,Times Group Brand Capital,Private Equity,3000000,Bridge funding
976,2015-03-11,LoanBaba,Consumer Internet,Online Loans Marketplace,Mumbai,,Seed Funding,600000,
1303,2015-03-11,Pokkt,Technology,Alternate Mobile Monetization platform,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTelü??s Innov8, Jungle Ventures, K Ganesh",Private Equity,5000000,Series B
1621,2015-03-11,Stuffed,Consumer Internet,Quick Service Restaurant & Online Delivery,Mumbai,Riqueza Capital,Seed Funding,8200000,Funding happened in Sept 2015
444,2015-03-12,Eckovation,Education,Social Learning Platform,New Delhi,Chandigarh Angel Network (CAN),Seed Funding,500000,
529,2015-03-12,Fitcircle,Consumer Internet,Social Fitness platform,Mumbai,Beerud Sheth and Ravi Mantha,Seed Funding,150000,Pre-Series A
1533,2015-03-12,Shuttl,Consumer Internet,App based Bus Pooling Services,Gurgaon,"Sequoia Capital, Times Internet Ltd & One more Fund",Private Equity,20000000,Series B
560,2015-03-13,Foodpanda,Consumer Internet,Online Food Delivery,Mumbai,Rocket Internet AG & others,Private Equity,1200000,Series C
1244,2015-03-13,Paytm,E-Commerce,E-Commerce,Bangalore,Ratan Tata,Private Equity,50000000,More details
1376,2015-03-13,Qyk App,Consumer Internet,On-Demand App based Professional service provider,Mumbai,"Powai Lake Ventures, Zishan Hayath, Abhishek Goyal, Sahil Barua",Seed Funding,3000000,
1215,2015-03-14,Orobind,Consumer Internet,App based Fitness coaching,Mumbai,"Zishaan Hayath, Lalit Mangal, Harpreet Singh Grover",Seed Funding,200000,
1056,2015-03-16,Meru Cabs,Consumer Internet,Online- Mobile Tax Cab booking,Mumbai,Value Fund Advisors,Private Equity,300000,
633,2015-03-17,GolfLAN,Consumer Internet,Golf Session Online Bookings platform,Mumbai,YourNest Angel Fund,Seed Funding,6000000,
631,2015-03-18,GoJavas,Logistics,Delivery & Logistics Service provider,Mumbai,Snapdeal,Private Equity,150000,"Minority stake, Strategic"
